Event_ID,Invitation_QR_ID,Event_Type,Total_Guests,Estimated_Food_Portions,Transport_Mode,Parking_Required,Estimated_Parking_Vehicles,Room_Required,Room_Type,Rooms_Required_Count,Stay_Duration_Days,RSVP_Status,Distance_km,Eco_Plate_Option,Food_Waste_Estimate_kg,Coming_From,Vehicle_Type,Arrival_Time_Slot,Parking_Zone,Checkin_Status
EVDLN9GA,QRIADBJP,Housewarming,749,804,Car,0,288,1,Family,12,2,Not Attending,39,0,57.75,Pondicherry,Bike,Evening,D,Not Checked-In
EV7SYIB3,QREU1O7G,Housewarming,304,385,Bike,1,113,0,Family,4,2,Attending,15,1,18.86,Tirunelveli,None,Evening,C,Not Checked-In
EVPHMT12,QRGZ3IFW,Engagement,807,825,Bus,0,213,1,Double,28,0,Attending,101,0,10.53,Chennai,None,Afternoon,A,Not Checked-In
EVANEV2P,QRS5N57R,Housewarming,473,430,Car,1,152,0,,27,3,Maybe,163,1,64.16,Tirunelveli,Car,Afternoon,B,Not Checked-In
EV06GJXH,QRSL68DI,Anniversary,1184,1213,Car,0,401,0,Double,8,2,Maybe,182,0,9.52,Salem,Bike,Morning,D,Not Checked-In
EVOKJPTB,QR324640,Wedding,349,388,Bus,1,121,1,Family,140,1,Attending,12,1,51.7,Pondicherry,None,Morning,A,Not Checked-In
EV6ZRCP0,QRD02YLE,Engagement,859,917,Walk,0,409,0,Family,25,0,Attending,186,1,19.91,Bangalore,None,Evening,C,Not Checked-In
EVA9HMYB,QRAMPBQQ,Birthday,344,345,Car,1,146,0,,101,0,Not Attending,192,0,36.07,Bangalore,None,Afternoon,A,Not Checked-In
EV6ZYQ92,QRMU8VP8,Wedding,519,506,Bike,1,229,1,Double,6,2,Not Attending,277,0,24.8,Salem,Bike,Evening,A,Not Checked-In
EV5FSG1S,QRDJPUIJ,Birthday,597,637,Cab,1,164,0,Double,20,0,Attending,204,0,19.15,Bangalore,Bike,Evening,C,Not Checked-In
EV7DX7E0,QRGFBGQS,Baby Shower,1071,1132,Cab,0,447,1,Double,22,1,Attending,83,1,15.33,Tirunelveli,Bike,Morning,C,Not Checked-In
EVEU2HQM,QR2L2SNP,Baby Shower,1152,1232,Bike,1,360,0,Single,58,2,Maybe,297,0,60.65,Pondicherry,None,Evening,A,Not Checked-In
EVWVTBT3,QRLI2J01,Anniversary,412,382,Bus,1,148,1,,147,3,Not Attending,151,1,26.2,Pondicherry,None,Evening,B,Not Checked-In
EV5DAXO2,QREIPN0Z,Engagement,348,321,Bike,0,89,1,Single,120,0,Not Attending,11,1,32.98,Tirunelveli,Car,Afternoon,B,Not Checked-In
EV3BAW7Z,QR40R0CS,Wedding,438,497,Car,1,157,0,,73,0,Attending,255,1,52.48,Pondicherry,Bike,Morning,B,Not Checked-In
EVNRAR4H,QRHGTZXN,Housewarming,946,960,Walk,0,441,0,,6,1,Not Attending,87,0,30.28,Erode,None,Evening,C,Not Checked-In
EVJ6EGLS,QR33UMRW,Housewarming,840,880,Cab,1,388,1,Single,94,3,Attending,239,0,16.84,Chennai,Car,Morning,A,Not Checked-In
EVBX4V9K,QRKH441B,Engagement,393,475,Bus,1,133,0,,127,0,Maybe,104,1,33.87,Salem,None,Evening,A,Not Checked-In
EVMAKD5Z,QRYUD8Y5,Birthday,1002,1077,Cab,1,500,1,Single,32,0,Maybe,253,1,52.75,Madurai,Car,Morning,C,Not Checked-In
EV4RGDX4,QRKUM9ZQ,Engagement,337,288,Bus,1,104,0,Single,33,3,Attending,289,1,24.88,Trichy,Bike,Afternoon,D,Not Checked-In
EVWJ4EEX,QRFR25HO,Housewarming,337,380,Bike,1,152,0,Single,97,1,Attending,243,0,73.21,Trichy,None,Afternoon,A,Not Checked-In
EV1OL0GI,QRU0QBRN,Wedding,552,640,Cab,0,175,0,Family,16,0,Not Attending,133,0,15.43,Chennai,Bike,Morning,D,Not Checked-In
EV7H679G,QRPAGPKP,Wedding,645,730,Cab,0,263,0,Single,96,3,Maybe,28,0,7.66,Salem,Car,Evening,C,Not Checked-In
EVC1L1H6,QRIO8S67,Anniversary,589,629,Cab,1,178,0,Single,47,3,Maybe,263,1,73.81,Madurai,None,Morning,C,Not Checked-In
EVVHK8W3,QR94466A,Anniversary,554,652,Bike,0,187,0,,92,0,Maybe,168,1,48.22,Pondicherry,Car,Evening,A,Not Checked-In
EVVX94Z9,QRZZCMY9,Birthday,496,473,Bus,0,126,1,Single,96,0,Not Attending,56,1,56.13,Coimbatore,None,Evening,B,Not Checked-In
EV4U1BLL,QRHDTKD7,Birthday,1075,1172,Cab,1,482,1,,130,2,Not Attending,181,1,62.99,Hyderabad,Car,Evening,C,Not Checked-In
EVK05WCI,QRTICJZY,Wedding,972,979,Bus,1,372,0,Single,49,1,Attending,171,1,49.03,Madurai,None,Evening,B,Not Checked-In
EVAP8WIK,QRG8VXQA,Wedding,525,574,Walk,0,134,1,Double,64,1,Not Attending,45,0,42.72,Erode,Car,Evening,B,Not Checked-In
EVXXHR14,QRHXY70Q,Birthday,1129,1213,Cab,1,506,1,Double,31,0,Attending,138,1,57.33,Coimbatore,Car,Afternoon,B,Not Checked-In
EVD5JK9V,QRL9CXRU,Birthday,803,780,Car,0,241,1,,134,1,Maybe,253,1,41.01,Tirunelveli,None,Morning,D,Not Checked-In
EV4TS2MI,QRO9GUB8,Baby Shower,462,530,Cab,0,172,0,Family,87,1,Attending,241,1,18.46,Trichy,None,Evening,A,Not Checked-In
EVSNLJLG,QR1VV85D,Engagement,768,726,Walk,1,208,1,,142,2,Maybe,21,0,76.84,Coimbatore,None,Evening,B,Not Checked-In
EVBUX0MP,QRBVDLFK,Wedding,463,543,Cab,0,213,0,Family,120,2,Attending,17,0,9.45,Trichy,Bike,Morning,C,Not Checked-In
EVJPBOWH,QR30OB2U,Wedding,487,439,Bus,0,179,0,Family,138,3,Not Attending,174,1,9.91,Chennai,Bike,Morning,C,Not Checked-In
EV84ISMK,QRSDQ4QD,Housewarming,628,683,Car,1,239,1,,60,0,Attending,231,0,16.12,Tirunelveli,Bike,Afternoon,A,Not Checked-In
EVFMIFCL,QROI6ELM,Baby Shower,360,434,Cab,0,160,0,Family,26,2,Maybe,148,1,10.67,Madurai,None,Afternoon,B,Not Checked-In
EVJOY15N,QRQVA40A,Anniversary,709,772,Bus,1,240,0,Single,83,3,Not Attending,281,1,49.82,Chennai,None,Afternoon,C,Not Checked-In
EVX60YLW,QRGYVJO2,Birthday,693,772,Car,1,275,0,,43,0,Maybe,7,0,42.95,Tirunelveli,None,Evening,D,Not Checked-In
EVNKR4Q8,QRMJ7F5G,Birthday,1038,1084,Bus,0,502,1,,110,3,Attending,195,0,31.11,Tirunelveli,Car,Afternoon,D,Not Checked-In
EV4RKTZS,QRNG6M5D,Anniversary,1097,1070,Bike,0,416,1,Double,25,3,Maybe,262,0,26.39,Pondicherry,Car,Morning,C,Not Checked-In
EVQNS0NE,QR45SS8C,Wedding,912,962,Walk,0,413,0,Double,149,1,Attending,100,1,43.29,Bangalore,Car,Afternoon,A,Not Checked-In
EVIU66X2,QRA250VS,Anniversary,841,916,Cab,0,383,1,Single,74,0,Attending,1,1,13.81,Trichy,Bike,Morning,C,Not Checked-In
EVE90XTF,QRF2T9X7,Engagement,1064,1082,Bus,0,274,0,Single,106,2,Attending,17,0,40.63,Trichy,Car,Morning,B,Not Checked-In
EV7N1568,QRN1NBKP,Housewarming,663,731,Bike,0,166,0,Double,14,2,Attending,163,0,8.06,Bangalore,Car,Morning,C,Not Checked-In
EVZ201SR,QRYWW71T,Housewarming,768,746,Cab,1,342,0,Family,116,1,Attending,92,1,65.87,Madurai,Car,Evening,C,Not Checked-In
EV102SFO,QRLEPD4G,Engagement,771,779,Car,0,310,0,Double,21,2,Attending,129,0,27.92,Tirunelveli,Car,Evening,A,Not Checked-In
EVYA2N2G,QR494JEJ,Baby Shower,455,471,Cab,0,149,0,Single,62,1,Not Attending,79,0,67.33,Pondicherry,Car,Morning,A,Not Checked-In
EVPTCJIJ,QR3OZOS5,Anniversary,990,1033,Bus,0,489,0,Double,1,0,Attending,35,1,12.28,Hyderabad,None,Afternoon,C,Not Checked-In
EVYBHJQD,QRXVVYXD,Housewarming,560,519,Car,0,256,0,Double,124,0,Maybe,206,1,7.76,Pondicherry,Bike,Afternoon,B,Not Checked-In
EV88AARX,QRTUIWPE,Baby Shower,1016,975,Bike,1,441,0,Double,138,1,Attending,122,0,75.19,Pondicherry,Car,Evening,B,Not Checked-In
EVLHXARL,QR3U7V1S,Birthday,965,974,Walk,0,435,1,Single,91,0,Not Attending,86,0,24.53,Coimbatore,Bike,Evening,D,Not Checked-In
EVZM8BDE,QRG7ONO6,Engagement,1084,1126,Cab,1,310,1,Single,48,1,Not Attending,166,0,69.6,Coimbatore,Bike,Morning,D,Not Checked-In
EVQFM4HL,QRFH72K5,Wedding,369,358,Cab,0,151,0,Double,104,1,Attending,238,1,10.61,Madurai,Bike,Morning,D,Not Checked-In
EVPL69E5,QRBKFJF7,Housewarming,900,970,Bus,1,375,0,Double,68,0,Maybe,94,1,70.21,Pondicherry,Bike,Afternoon,B,Not Checked-In
EV72OO72,QRDBTV7O,Housewarming,391,451,Bike,1,157,0,Family,68,3,Attending,54,0,61.02,Bangalore,None,Evening,D,Not Checked-In
EVOTGZE5,QR2IYFX3,Baby Shower,867,856,Car,1,396,1,Single,127,2,Maybe,17,1,67.45,Coimbatore,Bike,Morning,D,Not Checked-In
EVNQ85VX,QRTSJ7Z3,Baby Shower,429,484,Car,1,140,0,Double,109,0,Attending,126,1,64.96,Coimbatore,Bike,Morning,C,Not Checked-In
EVJR4DPS,QRUU289S,Housewarming,898,884,Cab,1,286,0,Family,11,1,Attending,75,0,65.37,Tirunelveli,None,Afternoon,A,Not Checked-In
EVZ247XV,QRUDDRNE,Baby Shower,947,908,Cab,1,364,0,Double,55,2,Maybe,266,1,37.13,Madurai,None,Evening,C,Not Checked-In
EVVC0SHI,QRHLRI67,Housewarming,1093,1169,Car,1,499,0,Single,67,2,Attending,262,0,39.36,Trichy,Bike,Morning,B,Not Checked-In
EV6IBN5R,QRF7LUQ7,Engagement,339,421,Car,0,91,0,Family,88,1,Not Attending,240,1,46.04,Bangalore,None,Afternoon,A,Not Checked-In
EV7GZQOQ,QRSC1FB4,Wedding,430,427,Bus,0,110,0,Family,80,2,Attending,146,0,24.98,Madurai,Bike,Evening,A,Not Checked-In
EVDG82HQ,QRD4UXAL,Wedding,452,509,Bike,0,150,1,,11,3,Attending,50,1,7.85,Chennai,Bike,Afternoon,A,Not Checked-In
EVXYHUCT,QRSK2CE3,Birthday,763,795,Bike,1,374,0,Single,141,2,Maybe,147,1,73.12,Bangalore,Car,Afternoon,B,Not Checked-In
EVCIFJFH,QRMRR9GY,Engagement,1134,1099,Bike,1,522,1,,85,3,Maybe,220,0,6.48,Chennai,Bike,Morning,B,Not Checked-In
EVPFVGII,QR2DFARE,Engagement,876,846,Bus,0,348,1,Family,19,3,Not Attending,203,0,52.83,Pondicherry,None,Morning,B,Not Checked-In
EVL6QSE7,QRL12MYY,Housewarming,897,850,Bike,0,246,0,Double,22,3,Not Attending,196,0,17.19,Tirunelveli,None,Evening,D,Not Checked-In
EVJ1UKMM,QRY0S8AE,Birthday,1188,1252,Bus,0,459,0,Family,59,1,Maybe,206,0,75.2,Bangalore,None,Morning,D,Not Checked-In
EVE06BBW,QR8G6N53,Engagement,858,871,Car,1,359,1,,20,0,Attending,22,0,70.01,Hyderabad,None,Evening,C,Not Checked-In
EVPHTA7U,QRK0L9PK,Housewarming,1033,1127,Car,1,444,1,Single,38,0,Not Attending,83,1,25.44,Coimbatore,Bike,Evening,C,Not Checked-In
EV1FSA2N,QR0PO2A3,Anniversary,441,432,Bus,1,135,1,Family,47,2,Not Attending,55,0,61.55,Madurai,Car,Afternoon,B,Not Checked-In
EVWKM8S7,QRM9TSGL,Housewarming,1129,1189,Car,1,417,1,,17,2,Not Attending,119,0,60.86,Pondicherry,Car,Morning,D,Not Checked-In
EVDZRCKI,QRVW1LK5,Wedding,1034,1117,Bus,0,420,0,Family,5,2,Not Attending,4,1,52.88,Salem,None,Morning,B,Not Checked-In
EVUE2EU8,QRP1WPH2,Anniversary,652,729,Bus,1,191,1,Family,122,3,Attending,60,0,70.07,Pondicherry,Bike,Evening,B,Not Checked-In
EVFVCUMX,QRVYENC6,Wedding,667,656,Bus,0,239,1,Family,47,1,Attending,5,1,23.57,Pondicherry,None,Evening,D,Not Checked-In
EVG09FCS,QRG54VZ3,Wedding,549,619,Cab,1,176,1,,126,1,Attending,231,0,65.53,Madurai,Car,Evening,C,Not Checked-In
EVB9X23X,QRZ84W2S,Baby Shower,325,302,Bike,1,83,0,,130,0,Maybe,64,0,74.73,Coimbatore,Bike,Morning,C,Not Checked-In
EV8IJWUH,QRNOLYIN,Baby Shower,807,810,Bus,0,276,0,Family,121,0,Maybe,217,0,33.4,Tirunelveli,None,Morning,C,Not Checked-In
EV42O5HM,QRXUOMOH,Anniversary,496,516,Walk,1,153,0,Double,36,1,Not Attending,139,1,7.2,Coimbatore,Bike,Afternoon,A,Not Checked-In
EVOVBDNM,QRJ9KLV9,Baby Shower,544,584,Bike,0,170,0,Family,43,2,Attending,212,1,7.96,Trichy,None,Afternoon,A,Not Checked-In
EVWAWW3Z,QRVWKKHR,Engagement,742,821,Cab,1,208,0,Double,78,2,Not Attending,76,1,48.24,Chennai,Bike,Evening,A,Not Checked-In
EVPUAW7T,QRY70Y05,Anniversary,844,936,Walk,0,345,1,Family,74,2,Not Attending,205,0,28.62,Chennai,Car,Morning,D,Not Checked-In
EVHH42U7,QRPPKYC4,Baby Shower,965,918,Bike,1,362,0,Family,92,2,Not Attending,229,0,44.35,Erode,Car,Morning,A,Not Checked-In
EVZACZ7C,QR00SKTX,Wedding,417,412,Bike,0,106,1,Double,81,1,Not Attending,26,1,77.74,Erode,None,Evening,C,Not Checked-In
EVTN8STS,QRL6DSM3,Engagement,1100,1153,Cab,1,386,0,Single,126,3,Not Attending,107,1,37.44,Trichy,None,Morning,C,Not Checked-In
EV1ISRCJ,QR0EYQ7C,Housewarming,652,617,Car,1,201,1,Family,124,0,Not Attending,257,0,60.59,Erode,Bike,Evening,A,Not Checked-In
EVAE8XTG,QRAYSMLH,Anniversary,861,842,Cab,1,221,1,Family,132,1,Not Attending,168,1,50.12,Madurai,Bike,Afternoon,C,Not Checked-In
EV4QG1EI,QRN2X2NU,Housewarming,820,829,Car,1,335,1,,35,0,Attending,186,0,9.13,Tirunelveli,Car,Afternoon,B,Not Checked-In
EVA1UR5Z,QRGFHN08,Engagement,444,426,Walk,1,193,1,Single,13,1,Maybe,284,1,65.21,Hyderabad,Bike,Evening,B,Not Checked-In
EV8X8BBG,QRB2HTHT,Wedding,721,789,Walk,1,187,1,,55,0,Attending,107,1,62.74,Madurai,Bike,Afternoon,D,Not Checked-In
EV8NM4MN,QRMV2TS7,Baby Shower,860,938,Walk,1,215,0,,28,0,Attending,176,0,9.58,Chennai,Bike,Afternoon,C,Not Checked-In
EVAXF4B5,QRTYHBLQ,Anniversary,870,892,Car,0,272,1,,84,0,Attending,20,0,33.38,Trichy,Car,Evening,A,Not Checked-In
EVO4RS8B,QRNAQUW1,Engagement,1103,1089,Bike,1,450,1,Single,54,2,Attending,2,1,28.65,Trichy,Car,Afternoon,C,Not Checked-In
EVC5D9VR,QRRHTN8J,Birthday,649,603,Bike,0,307,1,Double,113,2,Maybe,145,1,28.23,Hyderabad,None,Afternoon,D,Not Checked-In
EV2P2K63,QRX7OIM8,Wedding,865,821,Bike,0,375,0,Double,109,3,Not Attending,256,1,26.43,Trichy,None,Evening,C,Not Checked-In
EVTE4OF0,QRE3UQMB,Baby Shower,1198,1274,Car,1,431,1,Family,56,1,Attending,208,1,58.78,Bangalore,Bike,Evening,C,Not Checked-In
EV0THM8P,QRA71IN1,Engagement,520,501,Bike,0,163,1,Double,11,3,Maybe,135,0,64.98,Erode,Car,Morning,D,Not Checked-In
EVM489DV,QRYK1BRD,Baby Shower,740,727,Cab,1,341,0,Family,105,2,Maybe,112,1,61.47,Coimbatore,None,Morning,A,Not Checked-In
EVD3LXPG,QREVLC5Q,Engagement,1161,1224,Car,0,516,0,Family,87,0,Not Attending,110,0,45.87,Erode,Bike,Afternoon,D,Not Checked-In
EVEK1W84,QR1N684Z,Baby Shower,1123,1113,Car,0,336,1,Double,141,1,Maybe,132,0,71.15,Bangalore,Bike,Afternoon,D,Not Checked-In
EV0YM9U2,QRETVIZU,Engagement,369,329,Bike,0,139,1,Double,49,3,Maybe,222,0,39.19,Salem,Bike,Morning,B,Not Checked-In
EVFBLYYH,QRKUXNE4,Birthday,655,693,Cab,0,203,0,Family,128,2,Maybe,34,1,70.73,Madurai,Car,Morning,B,Not Checked-In
EVR8XQ0Q,QRO6129D,Anniversary,920,972,Walk,1,456,1,Double,75,3,Maybe,201,0,20.16,Bangalore,Car,Afternoon,A,Not Checked-In
EV5T1ZTF,QRDYL2HF,Baby Shower,667,640,Walk,1,304,0,Family,78,2,Attending,61,0,57.19,Hyderabad,Bike,Evening,A,Not Checked-In
EVW2MXZN,QRRR7T2X,Anniversary,1126,1078,Cab,0,302,1,,47,2,Not Attending,143,0,33.76,Pondicherry,Car,Evening,C,Not Checked-In
EVI39XXS,QR52X1JL,Wedding,504,509,Car,1,207,0,,110,3,Not Attending,51,1,23.89,Salem,Bike,Evening,C,Not Checked-In
EV9ACHLN,QRJUA42S,Housewarming,699,657,Bus,0,343,0,,56,3,Maybe,234,0,16.71,Hyderabad,Bike,Morning,A,Not Checked-In
EVMUV0RW,QRZGBW1G,Anniversary,716,778,Car,1,313,0,,110,3,Not Attending,161,1,66.94,Pondicherry,None,Morning,B,Not Checked-In
EVCG7NYX,QRPWH8B3,Wedding,930,971,Walk,1,346,0,Single,0,1,Not Attending,66,1,39.92,Erode,None,Evening,C,Not Checked-In
EV4228S0,QR9T0841,Housewarming,803,826,Bike,0,209,0,Double,1,1,Not Attending,283,1,79.35,Trichy,Car,Morning,B,Not Checked-In
EV2U8235,QR9D8UCN,Engagement,1059,1148,Bike,1,308,1,Double,133,3,Maybe,151,0,69.14,Tirunelveli,Car,Evening,C,Not Checked-In
EVGP640Q,QR56NC25,Engagement,928,1014,Car,1,238,0,Family,142,3,Not Attending,288,1,17.09,Salem,None,Morning,B,Not Checked-In
EVYDFPXM,QR220II1,Wedding,1167,1209,Bike,1,547,0,Single,128,1,Not Attending,279,0,61.74,Chennai,Bike,Afternoon,C,Not Checked-In
EV0OJ2DO,QRCQEXZM,Birthday,879,902,Bus,1,374,1,Single,88,1,Maybe,292,0,22.52,Trichy,Car,Morning,B,Not Checked-In
EVM8SOCF,QRQOXEYX,Anniversary,496,581,Cab,0,177,0,Double,128,3,Not Attending,14,0,25.15,Erode,Car,Afternoon,C,Not Checked-In
EVA7BJTR,QR068EAD,Housewarming,492,459,Cab,1,227,0,Family,67,3,Attending,47,1,72.33,Salem,Car,Evening,B,Not Checked-In
EV5CW9MM,QRIVGG1Z,Housewarming,1187,1200,Bike,0,335,0,Single,45,3,Maybe,158,1,25.2,Hyderabad,None,Afternoon,A,Not Checked-In
EVGTYIRD,QRZDULX5,Wedding,658,629,Cab,0,221,0,Family,34,3,Maybe,116,1,17.56,Madurai,Bike,Morning,B,Not Checked-In
EVB7HAEM,QRI5UQHF,Housewarming,314,396,Bike,1,102,1,Double,120,0,Attending,37,1,47.37,Tirunelveli,Car,Afternoon,C,Not Checked-In
EVY1WD1C,QRNI8TWZ,Wedding,1169,1164,Cab,1,395,1,,51,3,Attending,47,0,65.19,Hyderabad,Car,Morning,D,Not Checked-In
EVIVZGM3,QRDELUAA,Anniversary,679,700,Bike,0,333,0,Single,88,0,Maybe,97,1,39.59,Bangalore,None,Afternoon,A,Not Checked-In
EVLESCGJ,QRJUBP9S,Baby Shower,410,477,Bike,1,157,0,,121,1,Attending,140,1,7.5,Hyderabad,None,Afternoon,B,Not Checked-In
EV5R2NXH,QRU0GX93,Birthday,925,1013,Bus,1,282,0,,103,3,Maybe,180,0,58.07,Hyderabad,Bike,Evening,C,Not Checked-In
EVJA786J,QRU1UNRJ,Housewarming,300,285,Walk,1,96,0,Single,126,0,Not Attending,288,1,23.71,Coimbatore,None,Afternoon,C,Not Checked-In
EVWXKY04,QR9PC4KE,Birthday,475,484,Bus,0,204,1,Family,84,2,Attending,20,1,75.54,Madurai,None,Evening,B,Not Checked-In
EVG0Y7L5,QRK7MOGK,Wedding,780,878,Bus,1,313,0,,126,0,Not Attending,252,1,65.66,Chennai,Bike,Afternoon,C,Not Checked-In
EVPTC2Q6,QRDQOR2X,Housewarming,1092,1098,Bike,0,503,0,Double,121,0,Not Attending,228,0,56.12,Hyderabad,None,Afternoon,B,Not Checked-In
EVXDW2Y3,QRRYUX7R,Birthday,741,781,Bus,1,261,0,Family,104,0,Not Attending,1,1,21.6,Trichy,None,Evening,A,Not Checked-In
EVOO8R8L,QR0S2B3G,Engagement,974,1068,Car,1,269,1,,45,2,Attending,226,0,63.61,Tirunelveli,Bike,Afternoon,B,Not Checked-In
EVY9HZU0,QRBT25WK,Wedding,526,492,Bike,1,252,0,Family,131,2,Maybe,70,1,76.99,Hyderabad,Bike,Evening,C,Not Checked-In
EVW1RCJW,QRHQ4YXB,Housewarming,749,785,Bus,0,218,1,Double,149,2,Maybe,119,0,79.26,Hyderabad,Car,Morning,B,Not Checked-In
EVUAVRAQ,QREQ7C95,Wedding,331,367,Car,1,155,1,Double,59,1,Attending,79,1,43.92,Hyderabad,None,Morning,A,Not Checked-In
EV0VRDKE,QRMDBK2C,Housewarming,910,897,Cab,1,234,0,,16,1,Maybe,279,1,27.6,Pondicherry,None,Afternoon,B,Not Checked-In
EV59RZQ8,QRDJHF9E,Anniversary,909,966,Car,1,319,1,Double,29,1,Not Attending,183,0,58.54,Bangalore,Bike,Morning,A,Not Checked-In
EV0APX93,QRNEIYIA,Baby Shower,803,891,Car,0,390,0,Single,135,3,Maybe,141,1,46.74,Erode,Bike,Morning,A,Not Checked-In
EVIKGQ8P,QRW0VVBY,Birthday,336,401,Bike,0,89,0,Family,135,1,Attending,14,0,54.98,Salem,None,Afternoon,C,Not Checked-In
EV8QADF3,QRB92CD3,Birthday,306,325,Bus,1,123,1,Family,11,0,Not Attending,201,1,14.25,Salem,Bike,Evening,D,Not Checked-In
EVWGV8C0,QRLUOYIL,Birthday,827,830,Walk,1,322,0,Family,134,2,Not Attending,141,0,37.77,Tirunelveli,None,Morning,D,Not Checked-In
EVFZYVAL,QR8YJ2TT,Engagement,706,700,Bus,1,261,0,,82,3,Maybe,11,1,33.59,Hyderabad,None,Morning,D,Not Checked-In
EVZZ0H5O,QRU818MT,Engagement,1065,1164,Car,0,315,1,Family,12,0,Not Attending,276,0,31.39,Madurai,Car,Afternoon,B,Not Checked-In
EV2J1S8S,QRR52TUH,Wedding,1012,1019,Bus,1,465,1,Single,106,2,Maybe,176,1,52.82,Coimbatore,None,Evening,C,Not Checked-In
EVOAYAAP,QRPTY7Y1,Wedding,619,606,Bike,1,184,1,Single,85,3,Maybe,164,1,18.1,Pondicherry,Car,Afternoon,A,Not Checked-In
EVCFYWPY,QR3JQ0AM,Housewarming,1032,1016,Bike,1,425,1,Family,24,1,Not Attending,78,0,62.98,Erode,Car,Afternoon,B,Not Checked-In
EVFNS3A8,QREOI2DC,Housewarming,410,436,Car,0,160,0,Double,96,3,Attending,217,1,65.42,Chennai,Bike,Morning,D,Not Checked-In
EVP9NUGT,QRGAZ5G5,Wedding,435,528,Cab,1,207,0,Family,91,0,Not Attending,223,1,30.97,Chennai,None,Afternoon,A,Not Checked-In
EVQ4BTW4,QR08A3S8,Wedding,1191,1237,Bike,0,299,1,Single,23,2,Attending,185,1,44.67,Bangalore,None,Afternoon,B,Not Checked-In
EVILTUUO,QR6MZW9A,Anniversary,930,1004,Cab,1,332,1,Double,126,0,Maybe,44,0,76.61,Madurai,None,Morning,D,Not Checked-In
EVKT660R,QRAL6Q44,Engagement,720,753,Bike,1,356,0,Single,59,1,Attending,130,1,51.72,Coimbatore,Bike,Afternoon,C,Not Checked-In
EVD079Y7,QRMDBXCG,Birthday,762,774,Bus,0,345,0,Family,64,2,Attending,102,1,9.55,Madurai,Bike,Morning,A,Not Checked-In
EVBXWN1K,QRTCFP9N,Baby Shower,684,718,Cab,1,186,0,Double,139,1,Maybe,291,1,16.05,Erode,None,Morning,D,Not Checked-In
EVTX9P37,QRLC1RY4,Engagement,830,878,Walk,1,273,1,Double,59,3,Maybe,78,0,11.65,Salem,Car,Morning,D,Not Checked-In
EVJFOGC2,QRZIL2YX,Anniversary,451,426,Car,1,141,0,,45,0,Attending,32,1,56.89,Trichy,Car,Evening,B,Not Checked-In
EV7JU8WH,QREEY37N,Baby Shower,726,720,Walk,1,207,1,Family,87,2,Attending,242,1,34.1,Pondicherry,Car,Morning,B,Not Checked-In
EVDW04K0,QROYQZ3Y,Housewarming,752,805,Car,1,271,0,Family,139,0,Maybe,129,0,31.61,Bangalore,Bike,Evening,D,Not Checked-In
EVS4SULT,QRFNI9F8,Anniversary,795,789,Car,1,239,1,Single,142,2,Maybe,170,1,49.47,Hyderabad,None,Afternoon,C,Not Checked-In
EVOR01ZT,QR2RQIEU,Anniversary,968,927,Walk,1,250,0,Double,148,0,Not Attending,282,0,77.28,Salem,Bike,Evening,B,Not Checked-In
EV5C1FA7,QRFFWR6T,Wedding,682,702,Bike,0,285,0,Family,52,3,Attending,164,1,46.98,Chennai,Bike,Evening,A,Not Checked-In
EVJNU0AP,QRJP0YBM,Birthday,575,674,Walk,1,224,0,,38,1,Attending,285,1,63.46,Trichy,Bike,Afternoon,A,Not Checked-In
EVXVTJAK,QRZN5D75,Birthday,464,491,Bus,0,223,0,Double,58,2,Attending,75,0,22.94,Hyderabad,None,Morning,B,Not Checked-In
EVCVYE7J,QRAF435L,Baby Shower,684,780,Cab,1,233,0,,46,3,Attending,256,0,5.14,Coimbatore,Bike,Morning,B,Not Checked-In
EV98MQNI,QRMHXS7R,Engagement,332,316,Car,0,111,1,Double,59,3,Maybe,175,1,60.75,Madurai,Bike,Afternoon,A,Not Checked-In
EVG6E1DZ,QRLEFJHZ,Baby Shower,502,467,Bike,0,186,1,Single,34,2,Attending,62,1,39.24,Madurai,None,Morning,D,Not Checked-In
EVVJ7PHU,QRA0CHW2,Wedding,811,796,Cab,1,346,1,Single,3,1,Attending,104,1,6.36,Coimbatore,Car,Evening,A,Not Checked-In
EVELTSVL,QRKTLJP4,Engagement,756,815,Bike,0,275,0,,78,1,Attending,287,1,10.69,Tirunelveli,Bike,Morning,B,Not Checked-In
EV3B05B3,QRTXPNU6,Baby Shower,882,848,Bus,0,227,0,Double,18,3,Not Attending,60,1,25.42,Tirunelveli,Bike,Morning,A,Not Checked-In
EVAJR7GK,QRQ8JIWG,Wedding,951,948,Car,0,261,1,Double,131,3,Not Attending,85,0,21.83,Coimbatore,Bike,Evening,B,Not Checked-In
EV9J75AC,QRDYC0QZ,Wedding,882,868,Cab,1,409,1,Family,41,1,Maybe,131,1,16.43,Erode,Bike,Afternoon,C,Not Checked-In
EVUE5IUO,QRV33DES,Housewarming,800,828,Bus,1,318,1,,78,1,Not Attending,129,0,72.15,Coimbatore,Car,Morning,A,Not Checked-In
EVOZN396,QR6OSGUZ,Wedding,1174,1201,Bike,0,297,0,,98,0,Maybe,256,1,51.71,Pondicherry,Car,Afternoon,D,Not Checked-In
EVC5KPD7,QRSGZ04E,Baby Shower,882,921,Car,0,330,0,,100,0,Attending,54,1,77.56,Hyderabad,Bike,Morning,A,Not Checked-In
